model,target,water_body_type,n,R2,RMSE,MAE,spearman,R2_log
xgboost_oof,bod,lake,1322,0.06355765030010718,10.147328688597156,3.511062624466988,0.456428521556244,0.2460139201414122
xgboost_oof,bod,overall,6833,0.010778710865246288,14.930983563234953,3.6095789104202476,0.40295508702962674,0.17142730209481694
xgboost_oof,bod,reservoir,450,-0.01500306724737066,6.205106117916186,2.0096966486662584,0.31263294529951186,0.06310460209619806
xgboost_oof,bod,river,3331,0.02357395286382058,12.13186338191199,3.3909668920572136,0.3374970436774403,0.18031722496087532
xgboost_oof,bod,unknown,1730,-0.00882265431109519,22.54854356424621,4.521938552609131,0.2946236325845391,0.03676781912922722
xgboost_oof,do,lake,1346,-0.02541213517800478,2.041878547234003,1.4772854667538875,0.16320763149569364,
xgboost_oof,do,overall,8151,0.02087499956489236,1.9089504688835186,1.410570687010981,0.15993154289691439,
xgboost_oof,do,reservoir,583,0.0634297392217652,1.728108725562464,1.2810951712201022,0.12195607401194865,
xgboost_oof,do,river,4176,-0.0027747586035493654,1.8368279306934274,1.3702893309209538,0.14103698456436947,
xgboost_oof,do,unknown,2046,0.005554961347863374,2.0093318787439727,1.4857911538751476,0.10899512933319616,
xgboost_oof,turbidity,lake,591,-0.03743876477205044,35.48043918521014,13.850809768650082,0.2880323585491195,0.04588793054254636
xgboost_oof,turbidity,overall,3223,-0.029450658810448616,85.69478738223792,23.201701219597155,0.22479671098143872,0.04037525425741173
xgboost_oof,turbidity,reservoir,206,-0.059734507889669386,38.48706505736333,14.526892782947796,0.13389938877489144,-0.07632690713876844
xgboost_oof,turbidity,river,1607,-0.034842660465581154,107.66303725990012,28.7217183144333,0.22599439643191607,0.035544293640904834
xgboost_oof,turbidity,unknown,819,-0.03690544669562312,69.81590647101031,21.300260333220855,0.1333493676853275,-0.012971934145485697
baseline_mean,bod,lake,1322,-0.010631496661412276,10.541626377327136,4.280996405323087,,-0.10558314772855559
baseline_mean,bod,overall,6833,-0.0157944973334343,15.13019823518801,5.144625966694226,,-0.47866851263683885
baseline_mean,bod,reservoir,450,-0.16510041646427753,6.648094964704609,4.131379198850601,,-1.3654766054591154
baseline_mean,bod,river,3331,-0.02572269944806571,12.434342230540706,5.1372739729829435,,-0.5829615974685727
baseline_mean,bod,unknown,1730,-0.012059099636635873,22.584684055131245,6.082295802945418,,-0.5403479541614213
baseline_mean,do,lake,1346,-0.1448973777285143,2.1575653570088598,1.5443863484528224,,
baseline_mean,do,overall,8151,-0.0435984385012429,1.9707988511170116,1.4543826031189089,,
baseline_mean,do,reservoir,583,-0.050902580171029,1.8305521695937312,1.3760511657003425,,
baseline_mean,do,river,4176,-0.06516001966183382,1.8931028371330947,1.4223813121847102,,
baseline_mean,do,unknown,2046,-0.020072688147544815,2.035058236162724,1.482808594192607,,
baseline_mean,turbidity,lake,591,-0.137607547797995,37.153863700453364,24.162358782795874,,-1.0617796830130146
baseline_mean,turbidity,overall,3223,-0.023417658487346227,85.4433152227962,31.907988351772932,,-0.7030757705126713
baseline_mean,turbidity,reservoir,206,-0.1670779084069578,40.38928638772436,28.89831397797506,,-1.7646975474629536
baseline_mean,turbidity,river,1607,-0.021089730594081146,106.94523022392808,35.25850440146401,,-0.45753963468715475
baseline_mean,turbidity,unknown,819,-0.038491014418048364,69.86926503061619,31.680125964000354,,-0.980157586341807
baseline_median,bod,lake,1322,-0.11815210535842069,11.08821524853671,3.9503782148260207,,-0.35490980608592815
baseline_median,bod,overall,6833,-0.03921214381767735,15.303606731714442,3.6969427776964734,,-0.07018157944010928
baseline_median,bod,reservoir,450,-0.030172377662572858,6.251302086587864,2.0388888888888888,,-0.007920255488937489
baseline_median,bod,river,3331,-0.04569068872971216,12.55479001762557,3.4669528670069054,,-0.04027362403100754
baseline_median,bod,unknown,1730,-0.026635088589113787,22.746738462769592,4.377393063583814,,-0.055056264952617395
baseline_median,do,lake,1346,-0.21530813468652288,2.222920251109666,1.5914561664190197,,
baseline_median,do,overall,8151,-0.0577443420343291,1.9841109119468694,1.4541896699791437,,
baseline_median,do,reservoir,583,-0.03281877788657028,1.8147338662034709,1.33704974271012,,
baseline_median,do,river,4176,-0.058183866053569844,1.8868933142364845,1.4013649425287358,,
baseline_median,do,unknown,2046,-0.04119164419732546,2.056016610116579,1.5050830889540567,,
baseline_median,turbidity,lake,591,-0.11077898081328108,36.71314399222124,14.369340101522845,,-0.08750965732276295
baseline_median,turbidity,overall,3223,-0.05796633162385123,86.87354846029638,23.779346881787152,,-0.1152963852747324
baseline_median,turbidity,reservoir,206,-0.06352608112035063,38.55585409443625,14.684660194174755,,-0.12460820639117753
baseline_median,turbidity,river,1607,-0.06271053633287793,109.10306688317074,29.561434349719978,,-0.17311931561230054
baseline_median,turbidity,unknown,819,-0.06295814391343324,70.68754277956234,21.511953601953604,,-0.10441651898751081
