target,xgboost_oof_R2,xgboost_oof_RMSE,xgboost_oof_R2_log,dl_oof_R2,dl_oof_RMSE,dl_oof_R2_log,baseline_mean_R2,baseline_mean_RMSE,baseline_mean_R2_log,baseline_median_R2,baseline_median_RMSE,baseline_median_R2_log,n,production_model,chosen_RMSE,chosen_R2,chosen_R2_log,beats_baseline,skill
bod,0.0081710577844783,14.950650143797551,0.1690508707258853,-0.0218114494356587,16.0229007787414,0.0856147417871396,-0.0157944973334343,15.13019823518801,-0.4786685126368388,-0.0392121438176773,15.303606731714442,-0.0701815794401092,6833,xgboost_oof,14.950650143797551,0.0081710577844783,0.1690508707258853,False,weak
do,0.0192737080858124,1.910510809671777,,-0.0196704908004861,2.0350054639429174,,-0.0435984385012429,1.970798851117012,,-0.0577443420343291,1.9841109119468692,,8151,xgboost_oof,1.910510809671777,0.0192737080858124,,True,none
turbidity,-0.0297966292105262,85.70918601760714,0.0415900928240009,-0.0588315826145167,61.07236767959648,-0.0073314453910839,-0.0234176584873462,85.4433152227962,-0.7030757705126713,-0.0579663316238512,86.87354846029638,-0.1152963852747324,3223,dl_oof,61.07236767959648,-0.0588315826145167,-0.0073314453910839,True,none
